ErrorCode;ErrorMessage;ErrorType;HTTPStatusCode;APIname
ESB.SMCK.000001;Generic Error occurred in SimCheck process;System;500;SIMCHECK
ESB.SMCK.000002;Error  Mapping the CheckIMSIResponse in SimcheckBSL process;Business;;SIMCHECK
ESB.SMCK.000003;Error P.Iva and CodiceFiscale are both empty;Business;400;SIMCHECK
ESB.SMCK.000004;Error P.Iva and CodiceFiscale are both filled in;Business;400;SIMCHECK
ESB.SMCK.000005;No Sim Found in Microsoft Dynamics;Business;400;SIMCHECK
ESB.SMCH.000400;[ERROR] Bad Request ;Business;400;SIMCHECK
ESB.PCRF.000001;Generic Error occurred GetImsiByIp_sl process;System;500;
ESB.PCRF.000002;Business Exception during  ParseGetResponse into GetImsiByIp Process;Business;400;
ESB.PCRF.000003;HTTPClient Exception occurred on GetIMSIByIP activity;Business;400;
ESB.PCRF.000004;HTTPServer Exception occurred on GetIMSIByIP activity;System;500;
ESB.PCRF.000005;HTTPCommunication Exception occurred on GetIMSIByIP activity;System;500;
ESB.PCRF.000006;ActivityTimedOut Exception occurred on GetIMSIByIP activity;System;500;
ESB.PCRF.000007;IP not found;Business;400;
ESB.MDYN.000001;System Error occurred during RetrieveSIMEntity (CRM);System;500;
ESB.MDYN.000002;Generic Error occurred during GetTestataByGUIDTDC (CRM);System;500;
ESB.MDYN.000003;Generic Error occurred during GetSIMByGuidTDC (CRM);System;500;
ESB.MDYN.000004;Generic Error occurred during UpdateTestataContratto (CRM);System;500;
ESB.MDYN.000005;Generic Error occurred during UpdateSIM (CRM);System;500;
ESB.MDYN.000006;Generic Error occurred during GetLineeContratto (CRM);System;500;
ESB.MDYN.000007;Generic Error occurred during UpdateLineaContratto (CRM);System;500;
ESB.MDYN.000008;Generic Error occurred on GetAccountByCodiceFiscaleOrPIVA process (CRM);System;500;
ESB.MDYN.000009;Generic Error occurred on GetTestataContrattoByRelatedIMSI process (CRM);System;500;
ESB.MDYN.000010;Generic/Unknown error occurred on GetSImFromAccount process;System;500;
ESB.MDYN.000011;Connection Exception occurred call Microsoft Dynamics through the RetrieveSIMEntity activity;System;500;
ESB.MDYN.000012;Business exception occurred on GETSIMFromAccount process;Business;400;
ESB.MDYN.000013;System error occurred ın the GEtSIMbySımID process;System;500;
ESB.MDYN.000014;Generic/Unknown error occurred on GetSIMBySimID process;System;500;


