ErrorCode;ErrorMessage;ErrorType;HTTPStatusCode;APIname
ESB.MDYN.000001;System Error occurred during RetrieveSIMEntity (CRM);System;500;
ESB.MDYN.000002;Generic Error occurred during GetTestataByGUIDTDC (CRM);System;500;
ESB.MDYN.000003;Generic Error occurred during GetSIMByGuidTDC (CRM);System;500;
ESB.MDYN.000004;Generic Error occurred during UpdateTestataContratto (CRM);System;500;
ESB.MDYN.000005;Generic Error occurred during UpdateSIM (CRM);System;500;
ESB.MDYN.000006;Generic Error occurred during GetLineeContratto (CRM);System;500;
ESB.MDYN.000007;Generic Error occurred during UpdateLineaContratto (CRM);System;500;
ESB.MDYN.000008;Generic Error occurred on GetAccountByCodiceFiscaleOrPIVA process (CRM);System;500;
ESB.MDYN.000009;Generic Error occurred on GetTestataContrattoByRelatedIMSI process (CRM);System;500;
ESB.MDYN.000010;Generic/Unknown error occurred on GetSImFromAccount process;System;500;
ESB.MDYN.000011;Connection Exception occurred call Microsoft Dynamics through the RetrieveSIMEntity activity;System;500;
ESB.MDYN.000012;Business exception occurred on GETSIMFromAccount process;Business;400;
ESB.MDYN.000013;System error occurred ın the GEtSIMbySımID process;System;500;
ESB.MDYN.000014;Generic/Unknown error occurred on GetSIMBySimID process;System;500;
